Name,Facility_ID,Category,BusinessStatus,BusinessStatusDetail,Sido,Sigungu,Dong,LotNumber,RoadAddress,PostalCode,lat,lon,PhoneNumber,LicenseDate,ClosingDate,LastUpdated
브라이튼안과치과동물병원,314000001020260001,3140000,영업/정상,정상,서울특별시,양천구,양천구,서울특별시 양천구 신정동 1026-1,"서울특별시 양천구 신월로 338, 태성빌딩 3층 (신정동)",08086,446600.184140953,187415.922905255,02-2039-0039,2026-02-25,,2026-03-07 22:02:01
반포베이스 동물의료센터,321000001020260002,3210000,영업/정상,정상,서울특별시,서초구,서초구,서울특별시 서초구 반포동 107-45 부림빌딩 1동 102호,"서울특별시 서초구 사평대로18길 10, 부림빌딩 1층 102호 (반포동)",06575,444026.800198634,199540.058557374,02-6953-0071,2026-02-23,,2026-02-26 22:02:02
페가수스클리닉,409000001020260002,4090000,영업/정상,정상,경기도,김포시,김포시,경기도 김포시 월곶면 포내리 131-2,"경기도 김포시 월곶면 김포대학로 30, 1층 102호",10020,469273.651488823,159416.661114418,,2026-02-25,,2026-02-26 21:02:01
동탄동물심장병원,577000001020260001,5530000,영업/정상,정상,경기도,화성시,화성시,"경기도 화성시 동탄구 여울동 1020 동탄역 린스트라우스 2006,호","경기도 화성시 동탄구 동탄역로 102, 2006, 2007호 (여울동, 동탄역 린스트라우스)",18478,,,031-377-8875,2026-02-25,,2026-03-11 01:52:29
올바로 동물병원,366000001020260001,3660000,영업/정상,정상,대전광역시,서구,서구,대전광역시 서구 괴정동 7-5,"대전광역시 서구 계룡로 550, 106호 (괴정동)",35268,315804.198654905,234467.594058316,042-721-5850,2026-02-12,,2026-02-13 22:02:00
위례 다올동물병원,378000001020260001,3780000,영업/정상,정상,경기도,성남시,성남시,경기도 성남시 수정구 창곡동 523-2 아다지오,"경기도 성남시 수정구 위례순환로4길 36, 아다지오 1층 (창곡동)",13642,440846.072,213102.805,031-8039-7553,2026-02-12,,2026-02-13 21:32:02
마필동물병원,383000001020260001,3830000,영업/정상,정상,경기도,안양시,안양시,경기도 안양시 동안구 평촌동 932-4 꿈마을한신아파트 한신상가동,"경기도 안양시 동안구 관평로 76, 꿈마을한신아파트 한신상가동 지층 011호 (평촌동)",14102,431338.683676833,196947.477869431,,2026-02-12,,2026-02-13 21:32:00
어울림 동물병원,533000001020260001,5330000,영업/정상,정상,경상남도,통영시,통영시,경상남도 통영시 광도면 죽림리 278-1,"경상남도 통영시 광도면 죽림2로 25-75, 영원빌딩 1층",53019,154628.720621505,329342.748290266,,2026-02-12,,2026-02-13 21:32:00
프란다스동물의료센타,313000001020040006,3130000,폐업,폐업,서울특별시,마포구,마포구,서울특별시 마포구 용강동 494-68,서울특별시 마포구 대흥로 24 (용강동),,448976.983731133,194440.494852785,,2004-04-13,,2025-12-15 16:15:28
공덕 건강한 동물병원,313000001020080002,3130000,폐업,폐업,,,마포구,서울특별시 마포구 공덕동 256-13,,,,,,2008-07-22,,2025-12-15 16:15:28
