Name,Facility_ID,Category,BusinessStatus,BusinessStatusDetail,Sido,Sigungu,Dong,LotNumber,RoadAddress,PostalCode,lat,lon,PhoneNumber,LicenseDate,ClosingDate,LastUpdated,region_key,coord_status
브라이튼안과치과동물병원,314000001020260001,3140000,영업/정상,정상,서울특별시,양천구,양천구,서울특별시 양천구 신정동 1026-1,"서울특별시 양천구 신월로 338, 태성빌딩 3층 (신정동)",8086.0,37.52154923999949,126.85843575530852,02-2039-0039,2026-02-25,,2026-03-07,서울특별시_양천구,ok
반포베이스 동물의료센터,321000001020260002,3210000,영업/정상,정상,서울특별시,서초구,서초구,서울특별시 서초구 반포동 107-45 부림빌딩 1동 102호,"서울특별시 서초구 사평대로18길 10, 부림빌딩 1층 102호 (반포동)",6575.0,37.49844963450559,126.99558724061552,02-6953-0071,2026-02-23,,2026-02-26,서울특별시_서초구,ok
페가수스클리닉,409000001020260002,4090000,영업/정상,정상,경기도,김포시,김포시,경기도 김포시 월곶면 포내리 131-2,"경기도 김포시 월곶면 김포대학로 30, 1층 102호",10020.0,37.725017662146826,126.54045106125068,,2026-02-25,,2026-02-26,경기도_김포시,ok
동탄동물심장병원,577000001020260001,5530000,영업/정상,정상,경기도,화성시,화성시,"경기도 화성시 동탄구 여울동 1020 동탄역 린스트라우스 2006,호","경기도 화성시 동탄구 동탄역로 102, 2006, 2007호 (여울동, 동탄역 린스트라우스)",18478.0,37.19331,126.99159,031-377-8875,2026-02-25,,2026-03-11,경기도_화성시,centroid_fallback
올바로 동물병원,366000001020260001,3660000,영업/정상,정상,대전광역시,서구,서구,대전광역시 서구 괴정동 7-5,"대전광역시 서구 계룡로 550, 106호 (괴정동)",35268.0,36.34243745752718,127.38474035387247,042-721-5850,2026-02-12,,2026-02-13,대전광역시_서구,ok
위례 다올동물병원,378000001020260001,3780000,영업/정상,정상,경기도,성남시,성남시,경기도 성남시 수정구 창곡동 523-2 아다지오,"경기도 성남시 수정구 위례순환로4길 36, 아다지오 1층 (창곡동)",13642.0,37.4696994673704,127.14890688682064,031-8039-7553,2026-02-12,,2026-02-13,경기도_성남시,ok
마필동물병원,383000001020260001,3830000,영업/정상,정상,경기도,안양시,안양시,경기도 안양시 동안구 평촌동 932-4 꿈마을한신아파트 한신상가동,"경기도 안양시 동안구 관평로 76, 꿈마을한신아파트 한신상가동 지층 011호 (평촌동)",14102.0,37.38412363059447,126.96632226635748,,2026-02-12,,2026-02-13,경기도_안양시,ok
어울림 동물병원,533000001020260001,5330000,영업/정상,정상,경상남도,통영시,통영시,경상남도 통영시 광도면 죽림리 278-1,"경상남도 통영시 광도면 죽림2로 25-75, 영원빌딩 1층",53019.0,34.88217568835116,128.4155900822452,,2026-02-12,,2026-02-13,경상남도_통영시,ok
서해동물의료센터,356000001020260001,3560000,영업/정상,정상,인천광역시,서구,서구,인천광역시 서구 검암동 627-1 205호,"인천광역시 서구 승학로 470, 2층 205호 (검암동)",22696.0,37.56363132174681,126.67355769896672,032-710-3412,2026-02-20,,2026-02-25,인천광역시_서구,ok
에이펙스 홀스 클리닉,397000001020260001,3970000,영업/정상,정상,경기도,과천시,과천시,경기도 과천시 별양동 1-17 과천타워 지하2호,"경기도 과천시 별양상가1로 10, 과천타워 지하층 2호 (별양동)",13837.0,37.42696597640249,126.99199792508068,,2026-02-19,,2026-02-21,경기도_과천시,ok
