Name,Facility_ID,RightNumber,Category,BusinessStatus,DetailedBusinessStatus,BusinessStatusCode,DetailedStatusCode,LocationArea,RoadAddress,PostalCode,LotAddress,LotPostalCode,lat,lon,PhoneNumber,LicenseDate,LicenseWithdrawalDate,ReopeningDate,ClosingDate,TempClosingStart,TempClosingEnd,DataUpdateType,LastUpdated,LastModificationTime,Sido,Sigungu,region_key,coord_status
TEAM 1st SHOW ROOM,370000004920180033,000,3700000,영업/정상,정상,1,0,0.0,"울산광역시 남구 돋질로 ***, *층 (삼산동)",44710.0,울산광역시 남구 삼산동 ***-**,,35.54373125637094,129.34746087799772,,2018-05-29,,,,,,I,2026-01-13,2022-04-28,울산광역시,남구,울산광역시_남구,ok
군밤이네,370000004920180035,000,3700000,영업/정상,정상,1,0,0.0,울산광역시 남구 옥현로 ** (무거동),44611.0,울산광역시 남구 무거동 ***-**,,35.54171856144988,129.26134465557544,,2018-05-29,,,,,,I,2026-01-13,2024-01-30,울산광역시,남구,울산광역시_남구,ok
대구애견조류원,370000004920180039,000,3700000,영업/정상,정상,1,0,0.0,"울산광역시 남구 중앙로 ***-*, *층 (신정동)",44669.0,울산광역시 남구 신정동 ***-*,,35.54544987531431,129.3096930255618,,2018-07-04,,,,,,I,2026-01-13,2022-04-28,울산광역시,남구,울산광역시_남구,ok
사랑동물병원,370000004920180042,000,3700000,영업/정상,정상,1,0,0.0,울산광역시 남구 중앙로 ***-* (신정동),44676.0,울산광역시 남구 신정동 ***-*,,35.53582830734364,129.31345736789515,,2018-07-09,,,,,,I,2026-01-13,2022-04-28,울산광역시,남구,울산광역시_남구,ok
꽁냥꽁냥캣,370000004920180043,000,3700000,영업/정상,정상,1,0,0.0,울산광역시 남구 돋질로 *** (달동),44695.0,울산광역시 남구 달동 ***-*,,35.5413122695167,129.32576342498098,,2018-07-12,,,,,,I,2026-01-13,2022-04-28,울산광역시,남구,울산광역시_남구,ok
도그 포레스트,370000004920180048,000,3700000,영업/정상,정상,1,0,0.0,"울산광역시 남구 삼산로***번길 *, 도그 포레스트 (달동)",44693.0,울산광역시 남구 달동 ***-**,,35.53599949058124,129.31983373644147,,2018-08-20,,,,,,I,2026-01-13,2022-04-28,울산광역시,남구,울산광역시_남구,ok
달진상회(살롱드캣),370000004920180049,000,3700000,영업/정상,정상,1,0,0.0,"울산광역시 남구 중앙로 ***, *층 (신정동)",44730.0,울산광역시 남구 신정동 ***-**,,35.53261697310138,129.31456395679868,052-267-1929,2018-08-20,,,,,,I,2026-01-13,2022-04-28,울산광역시,남구,울산광역시_남구,ok
신운미애견미용실,370000004920180052,000,3700000,영업/정상,정상,1,0,0.0,"울산광역시 남구 팔등로 **, *층 (신정동)",44669.0,울산광역시 남구 신정동 ***-*,,35.54476600946008,129.30982264331982,052-900-2500,2018-08-21,,,,,,I,2026-01-13,2023-06-14,울산광역시,남구,울산광역시_남구,ok
펫하우스 동물병원,370000004920180057,000,3700000,영업/정상,정상,1,0,0.0,"울산광역시 남구 남중로 **, 울산 이마트 *층 (삼산동)",44716.0,울산광역시 남구 삼산동 **** 울산점 EMART,,35.53878,129.31362,052-273-0975,2018-09-13,,,,,,I,2026-01-13,2022-04-28,울산광역시,남구,울산광역시_남구,centroid_fallback
옥동종합동물병원,370000004920180060,000,3700000,영업/정상,정상,1,0,0.0,울산광역시 남구 문수로 *** (옥동),44662.0,울산광역시 남구 옥동 ***-*,,35.534472983107825,129.29248755145866,052-271-7582,2018-09-13,,,,,,I,2026-01-13,2023-02-16,울산광역시,남구,울산광역시_남구,ok
