Name,Facility_ID,Category,TaskType,BusinessStatus,Sido,Sigungu,Dong,LotNumber,RoadAddress,PostalCode,lat,lon,PhoneNumber,LicenseDate,ClosingDate,LastUpdated,region_key,coord_status
호펫 강아지 고양이 성신여대본점,307000004820190012,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 동선동*가 *** 동선*동새마을금고,"서울특별시 성북구 동소문로**다길 **, 동선*동새마을금고 *층 (동선동*가)",2845.0,37.60381,127.03083,,2019-04-26,,2026-01-13,서울특별시_성북구,centroid_fallback
행복하개키울고양,307000004820190015,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 안암동*가 **,"서울특별시 성북구 고려대로**길 **, *층 (안암동*가)",2850.0,37.60381,127.03083,,2019-05-14,,2026-01-13,서울특별시_성북구,centroid_fallback
카카오N동물병원,307000004820190017,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 길음동 **** 길음뉴타운,"서울특별시 성북구 길음로 **, 상가동 *층 **호 (길음동, 길음뉴타운)",2720.0,37.60381,127.03083,02-942-4883,2019-05-31,,2026-01-13,서울특별시_성북구,centroid_fallback
띵동이네,307000004820210008,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 삼선동*가 ***,"서울특별시 성북구 삼선교로**길 **, 지층 (삼선동*가)",2862.0,37.60381,127.03083,,2021-04-30,,2026-01-13,서울특별시_성북구,centroid_fallback
조이풀독,307000004820220004,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 정릉동 ***-*** 서륭빌딩,"서울특별시 성북구 서경로 **, 서륭빌딩 *층 (정릉동)",2716.0,37.60822608451107,127.0152270962505,,2022-03-15,,2026-01-13,서울특별시_성북구,ok
봄동살롱,307000004820220005,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 삼선동*가 ***-** 선경빌딩,"서울특별시 성북구 삼선교로**길 **, 선경빌딩 *층 (삼선동*가)",2861.0,37.590739608457575,127.01337289436702,,2022-05-10,,2026-01-13,서울특별시_성북구,ok
놀펫 강아지유치원 애견호텔 서울애견유치원 성북본원,307000004820220006,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 정릉동 ***-* *층,"서울특별시 성북구 북악산로 ***, *층 (정릉동)",2818.0,37.6000621466617,127.0168375427461,,2022-07-21,,2026-01-13,서울특별시_성북구,ok
도글로리(Doglory),307000004820220007,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 하월곡동 **-** 코업스타클래스 *층 상가동 ***호,"서울특별시 성북구 화랑로 **, 코업스타클래스 상가동 *층 ***, ***, ***-*호 (하월곡동)",2751.0,37.60182099468299,127.04044516263976,,2022-08-25,,2026-01-13,서울특별시_성북구,ok
댕겨오시개,307000004820230001,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 장위동 **-**,"서울특별시 성북구 돌곶이로**길 **, *,*층 (장위동)",2775.0,37.61244037837151,127.05912351276667,,2023-07-31,,2026-01-13,서울특별시_성북구,ok
머뭄 애견유치원,307000004820230004,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 장위동 ***-** 생활불교회(팔공산용주암),"서울특별시 성북구 돌곶이로 ***-*, 생활불교회(팔공산용주암) *층 (장위동)",2754.0,37.619127387347206,127.04514264890378,,2023-12-04,,2026-01-13,서울특별시_성북구,ok
