Name,Facility_ID,Category,BusinessStatus,Sido,Sigungu,Dong,LotNumber,RoadAddress,PostalCode,lat,lon,PhoneNumber,LicenseDate,ClosingDate,LastUpdated,region_key,coord_status
펫바라기,470100003820140001,4701000,영업/정상 / 정상,전북특별자치도,남원시,남원시,전북특별자치도 남원시 보절면 신파리 403,전북특별자치도 남원시 보절면 파동신동길 161-29,55706.0,35.41549,127.3984,,2014-09-24,,2025-12-15,전북특별자치도_남원시,centroid_fallback
해피펫,472100003820200001,4721000,영업/정상 / 정상,전북특별자치도,완주군,완주군,전북특별자치도 완주군 이서면 은교리 508,전북특별자치도 완주군 이서면 팥죽이로 205-7,55367.0,35.89834,127.1197,063-242-2114,2020-03-05,,2025-12-15,전북특별자치도_완주군,centroid_fallback
전주 하늘,472100003820200002,4721000,영업/정상 / 정상,전북특별자치도,완주군,완주군,전북특별자치도 완주군 소양면 신원리 1-3 현대오일뱅크,"전북특별자치도 완주군 소양면 전진로 1630, 현대오일뱅크",55346.0,35.85619993620907,127.32321005086538,,2020-04-20,,2025-12-15,전북특별자치도_완주군,ok
오수 펫 추모공원,476100003820210001,4761000,영업/정상 / 정상,전북특별자치도,임실군,임실군,전북특별자치도 임실군 오수면 금암리 864-1 오수펫추모공원,"전북특별자치도 임실군 오수면 춘향로 1554-95, 오수펫추모공원",55955.0,35.53863008377923,127.34871604828876,063-643-0486,2021-07-20,,2025-12-15,전북특별자치도_임실군,ok
해늘마루,480000003820220001,4800000,영업/정상 / 정상,전라남도,목포시,목포시,전라남도 목포시 대양동 756-10,전라남도 목포시 고하대로 1140-17(대양동),58603.0,34.84029790265339,126.40274630379923,061-273-4000,2022-09-27,,2025-12-15,전라남도_목포시,ok
전남반려동물장례식장푸른솔,481000003820210001,4810000,영업/정상 / 정상,전라남도,여수시,여수시,전라남도 여수시 율촌면 취적리 964-3,전라남도 여수시 율촌면 조화길 31,59604.0,34.86557226785144,127.5898451200836,15667112,2021-07-21,,2025-12-15,전라남도_여수시,ok
순천 반려동물장례식장 하늘별,482000003820240001,4820000,영업/정상 / 정상,전라남도,순천시,순천시,전라남도 순천시 별량면 대룡리 1189-1 펫하늘별,"전라남도 순천시 별량면 송산길 259, 펫하늘별",58031.0,34.88550939641901,127.37679591334889,,2024-01-07,,2025-12-15,전라남도_순천시,ok
전남순천1004반려동물장례식장,482000003820250001,4820000,영업/정상 / 정상,전라남도,순천시,순천시,전라남도 순천시 서면 동산리 543-7 동물화장시설,"전라남도 순천시 서면 순천로 260-1, 동물화장시설",57906.0,34.952,127.51125,,2025-07-18,,2025-12-15,전라남도_순천시,centroid_fallback
별다만 광주전남,483000003820250001,4830000,영업/정상 / 정상,전라남도,나주시,나주시,"전라남도 나주시 다도면 신동리 76 , 467-46",전라남도 나주시 다도면 다도로 857,58319.0,35.01702,126.7569,061-337-1230,2025-03-25,,2026-02-05,전라남도_나주시,centroid_fallback
주식회사 퍼스트펫,483000003820250002,4830000,영업/정상 / 정상,전라남도,나주시,나주시,전라남도 나주시 다시면 신광리 911-4,전라남도 나주시 다시면 영산로 4952,58279.0,35.019593009185854,126.67833371560542,061-337-0991,2025-06-30,,2026-01-15,전라남도_나주시,ok
타임투반려동물 장례식장,496000003820210001,4960000,영업/정상 / 정상,전라남도,함평군,함평군,전라남도 함평군 학교면 월산리 259,전라남도 함평군 학교면 학교월봉길 217,57158.0,35.09983,126.5453,,2021-03-23,,2025-12-15,전라남도_함평군,centroid_fallback
경북반려동물장례식장,506000003820230001,5060000,영업/정상 / 정상,경상북도,김천시,김천시,경상북도 김천시 봉산면 신암리 396,경상북도 김천시 봉산면 영남대로 353,39561.0,36.12681,128.13269,,2023-03-28,,2025-12-15,경상북도_김천시,centroid_fallback
(주)모모리아,508000003820220001,5080000,영업/정상 / 정상,경상북도,구미시,구미시,경상북도 구미시 옥성면 농소리 950-1,경상북도 구미시 옥성면 이곡3길 69,39102.0,36.31647301369884,128.27384092976223,,2022-07-22,,2025-12-15,경상북도_구미시,ok
(주)젠틀펫,512000003820220001,5120000,영업/정상 / 정상,경상북도,문경시,문경시,경상북도 문경시 문경읍 진안리 350-4,경상북도 문경시 문경읍 문경대로 2430,36919.0,36.742322221786566,128.08204706190494,,2022-06-14,,2026-03-10,경상북도_문경시,ok
아이들랜드,513000003820190001,5130000,영업/정상 / 정상,경상북도,경산시,경산시,경상북도 경산시 와촌면 신한리 산 54-8,경상북도 경산시 와촌면 불굴사길 82,38405.0,35.8414,128.75855,15226979,2019-12-23,,2025-12-15,경상북도_경산시,centroid_fallback
(주)젠틀펫,513000003820240001,5130000,영업/정상 / 정상,경상북도,경산시,경산시,경상북도 경산시 점촌동 60-1,경상북도 경산시 한의대로 124 (점촌동),38577.0,35.808102373717745,128.77724503323088,,2024-07-31,,2025-12-15,경상북도_경산시,ok
리틀포즈 반려동물 장례식장,514100003820240001,5141000,영업/정상 / 정상,대구광역시,군위군,군위군,대구광역시 군위군 부계면 창평리 812,대구광역시 군위군 부계면 부흥로 118,43162.0,36.23182,128.56693,,2024-09-04,,2025-12-15,대구광역시_군위군,centroid_fallback
하얀민들레,519000003820150001,5190000,영업/정상 / 정상,경상북도,청도군,청도군,경상북도 청도군 화양읍 송금리 83,경상북도 청도군 화양읍 남성현로 852,38323.0,35.65473,128.72695,,2015-02-02,,2025-12-15,경상북도_청도군,centroid_fallback
강아지 펫 헤븐,521000003820200001,5210000,영업/정상 / 정상,경상북도,성주군,성주군,경상북도 성주군 선남면 오도리 91,경상북도 성주군 선남면 관용로 427,40042.0,35.91819,128.28815,,2020-06-02,,2025-12-15,경상북도_성주군,centroid_fallback
스윗드림 펫,522000003820200001,5220000,영업/정상 / 정상,경상북도,칠곡군,칠곡군,경상북도 칠곡군 가산면 다부리 651,경상북도 칠곡군 가산면 다부거문1길 51-68,39851.0,36.03436,128.40023,054-974-2220,2020-06-03,,2025-12-15,경상북도_칠곡군,centroid_fallback
주식회사 아이헤븐,535000003820180001,5350000,영업/정상 / 정상,경상남도,김해시,김해시,경상남도 김해시 생림면 봉림리 872-1,경상남도 김해시 생림면 생림대로928번길 10-5,50800.0,35.34067506594358,128.84818513119353,15775474,2018-06-14,,2025-12-15,경상남도_김해시,ok
포포즈 반려동물장례식장 김해점,535000003820180002,5350000,영업/정상 / 정상,경상남도,김해시,김해시,경상남도 김해시 한림면 안하리 264-12,경상남도 김해시 한림면 안하로 102,50852.0,35.3087391144998,128.8246689971608,18118044,2018-12-19,,2025-12-15,경상남도_김해시,ok
별이되다,535000003820190001,5350000,영업/정상 / 정상,경상남도,김해시,김해시,경상남도 김해시 생림면 나전리 1065-8,경상남도 김해시 생림면 나전로137번길 31,50802.0,35.29802860694884,128.87329610921526,,2019-02-21,,2025-12-15,경상남도_김해시,ok
펫로스 케어,535000003820190002,5350000,영업/정상 / 정상,경상남도,김해시,김해시,경상남도 김해시 상동면 우계리 112-1,경상남도 김해시 상동면 묵방로109번길 3,50805.0,35.29915990926504,128.9115711324649,,2019-04-10,,2025-12-15,경상남도_김해시,ok
메리온,538000003820160001,5380000,영업/정상 / 정상,경상남도,양산시,양산시,경상남도 양산시 상북면 외석리 462-2,경상남도 양산시 상북면 오룡길 152,50582.0,35.34531,129.05109,055-374-6503,2016-03-29,,2025-12-15,경상남도_양산시,centroid_fallback
