CareRegNo,CareNm,OrgNm,DivisionNm,SaveTrgtAnimal,CareTel,DataStdDt,DsignationDate,CareAddr,JibunAddr,lat,lon,WeekOprStime,WeekOprEtime,WeekCellStime,WeekCellEtime,WeekendOprStime,WeekendOprEtime,WeekendCellStime,WeekendCellEtime,CloseDay,VetPersonCnt,SpecsPersonCnt,MedicalCnt,BreedCnt,QuarantineCnt,FeedCnt,TransCarCnt,Sido,Sigungu,region_key,coord_status
327346201500001,(사)대구수의사회,대구광역시 수성구,법인,개+고양이+기타,053-764-3708,2025-01-03,2017-01-01,대구광역시 북구 호국로 229 (서변동) 6층, 6층,35.922276,128.59904,00:00,24:00,,,,,,,0,0,0,,,,,,대구광역시,북구,대구광역시_북구,ok
348535202400001,(사)동물보호관리협회,경상남도 김해시,법인,개+고양이+기타,051-971-6208,2026-01-02,2025-01-01,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) , ,35.178925,128.89975,09:00,17:00,13:00,15:00,,,,,토요일+일요일,1,6,1.0,1.0,1.0,1.0,3.0,부산광역시,강서구,부산광역시_강서구,ok
326338201300001,(사)동부동물보호협회,부산광역시 수영구,법인,개+고양이+기타,051-701-7599,2026-01-20,2025-11-14,부산광역시 해운대구 송정2로13번길 46 (송정동) , ,35.194817,129.20631,09:00,18:00,14:00,16:00,10:00,14:00,10:00,13:00,일요일,2,5,3.0,15.0,3.0,1.0,3.0,부산광역시,해운대구,부산광역시_해운대구,ok
326331201100001,(사)동부동물보호협회,부산광역시 남구,법인,개+고양이+기타,051-701-7599,2024-11-27,2024-01-01,부산광역시 해운대구 송정2로13번길 46 (송정동) ,부산광역시 해운대구 송정동 85-1 ,35.181606,129.19846,09:00,18:00,14:00,16:00,10:00,14:00,10:00,13:00,일요일,2,5,3.0,15.0,3.0,1.0,3.0,부산광역시,해운대구,부산광역시_해운대구,ok
326330202400001,(사)동부동물보호협회,부산광역시 동래구,법인,개+고양이+기타,051-701-7599,2025-01-20,2025-01-01,부산광역시 해운대구 송정2로13번길 46 (송정동) ,부산광역시 해운대구 송정동 85-1 ,35.194817,129.20631,09:00,18:00,,,,,,,토요일+일요일,2,4,,,,,,부산광역시,해운대구,부산광역시_해운대구,ok
347502201600001,(사)영일동물플러스,경상북도 포항시,단체,개+고양이+야생동물,054-262-8295,2025-07-01,2019-07-01,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) , ,36.145683,129.33263,09:00,18:00,,,,,,,0,2,5,1.0,6.0,1.0,1.0,1.0,경상북도,포항시,경상북도_포항시,ok
327348201700003,119동물병원,대구광역시 달성군,동물병원,개+고양이,053-585-1195,2025-01-31,2017-02-01,"대구광역시 달성군 다사읍 달구벌대로 893 (다사읍, 대실요양병원 장례식장) 다사읍 관할", 다사읍 관할,35.857166,128.46654,09:30,18:30,09:30,18:30,09:30,16:00,09:30,16:00,일요일,1,1,1.0,1.0,1.0,1.0,1.0,대구광역시,달성군,대구광역시_달성군,ok
311303202500006,24시센트럴동물메디컬,서울특별시 성동구,동물병원,개+고양이,02-3395-7975,,2025-03-05,서울특별시 성동구 고산자로 207 (행당동) ,서울특별시 성동구 행당동 318-36 무학빌딩 ,37.55869,127.03371,00:00,24:00,,,,,,,0,13,15,,,,,,서울특별시,성동구,서울특별시_성동구,ok
341386200900001,24시아이동물메디컬,경기도 부천시,동물병원,개+고양이+등,032-677-5262,2025-01-10,2021-01-01,경기도 부천시 오정구 소사로 779 (원종동) 201호,경기도 부천시 원종동 229-8 뉴월드프라자 201호,37.52566,126.804565,00:00,24:00,,,,,,,0,7,5,,,,,,경기도,부천시,경기도_부천시,ok
347522202600002,25세 동물병원,경상북도 칠곡군,동물병원,고양이,054-974-0975,,2021-05-18,경상북도 칠곡군 왜관읍 석전로7길 1  ,경상북도 칠곡군 왜관읍 석전리 536-8 ,36.00085,128.40858,09:00,18:00,,,,,,,토요일+일요일,1,1,,,,,,경상북도,칠곡군,경상북도_칠곡군,ok
