BuildingNo,lon,Description,RoadName,RoadAddress,RiName,PetAllowedInfo,PetOnlyInfo,PetRestriction,LotNo,Dong,Sigungu,Sido,Name,PetExtraFee,PostalCode,OpeningHours,lat,AllowedPetSize,EntryFee,IsIndoor,IsOutdoor,PhoneNumber,ParkingAvailable,LotAddress,LastUpdated,Category1,Category2,Category3,Homepage,CloseDay,region_key,coord_status
19 번,126.886336,동물약국,동세로,경기도 고양시 덕양구 동세로 19,,Y,해당없음,제한사항 없음,352-1 번지,동산동,고양시 덕양구,경기도,1004 약국,없음,10598,월~금 09:00~18:00,37.64454276,모두 가능,변동,Y,N,02-381-5052,Y,경기도 고양시 덕양구 동산동 352-1,2022-11-30,반려동물업,반려의료,동물약국,정보없음,"매주 토, 일, 법정공휴일",경기도_고양시 덕양구,ok
508-68 번,125.996874,미술관,자은서부2길,전라남도 신안군 자은면 자은서부2길 508-68,백산리,N,해당없음,해당없음,633-54 번지,자은면,신안군,전라남도,1004섬수석미술관,없음,58831,화~일 09:00~18:00,34.8800925,해당없음,없음,N,N,061-240-8359,Y,전라남도 신안군 자은면 백산리 633-54,2025-03-24,반려동물업,반려동반여행,미술관,http://tour.shinan.go.kr/home/tour/theme_tour/theme_tour_17/theme_tour_17_01/page.wscms,매주 월요일,전라남도_신안군,ok
408 번,126.914837,동물약국,안양로,경기도 안양시 만안구 안양로 408,,Y,해당없음,제한사항 없음,856-4 번지,안양동,안양시 만안구,경기도,100세건강약국,없음,13989,"월~금 09:00~21:00, 토 09:00~20:00",37.40715043,모두 가능,변동,Y,N,031-465-1320,N,경기도 안양시 만안구 안양동 856-4,2022-11-30,반려동물업,반려의료,동물약국,정보없음,"매주 일요일, 법정공휴일",경기도_안양시 만안구,ok
24 번,126.903741,동물약국,양평로,서울특별시 영등포구 양평로 24,,Y,해당없음,제한사항 없음,217-4 번지,당산2동,영등포구,서울특별시,100세약국,없음,7223,"월~금 08:30~21:00, 토 08:30~18:30",37.53325958,모두 가능,변동,Y,N,02-2678-8217,N,서울특별시 영등포구 당산동6가 217-4,2022-11-30,반려동물업,반려의료,동물약국,정보없음,"매주 일요일, 법정공휴일",서울특별시_영등포구,ok
24 번,126.903741,동물약국,양평로,서울특별시 영등포구 양평로 24,,Y,해당없음,제한사항 없음,217-4 번지,당산2동,영등포구,서울특별시,100세약국,없음,7223,"월~금 08:30~21:00, 토 08:30~18:30",37.53325958,모두 가능,변동,Y,N,02-2678-8217,N,서울특별시 영등포구 당산동6가 217-4,2022-11-30,반려동물업,반려의료,동물약국,정보없음,"매주 일요일, 법정공휴일",서울특별시_영등포구,ok
24 번,126.903741,동물약국,양평로,서울특별시 영등포구 양평로 24,,Y,해당없음,제한사항 없음,217-4 번지,당산2동,영등포구,서울특별시,100세약국,없음,7223,"월~금 08:30~21:00, 토 08:30~18:30",37.53325958,모두 가능,변동,Y,N,02-2678-8217,N,서울특별시 영등포구 당산동6가 217-4,2022-11-30,반려동물업,반려의료,동물약국,정보없음,"매주 일요일, 법정공휴일",서울특별시_영등포구,ok
568 번,127.030911,동물약국,경수대로,경기도 수원시 팔달구 경수대로 568,,Y,해당없음,제한사항 없음,942-4 번지,인계동,수원시 팔달구,경기도,100세약국,없음,16484,"월~금 09:00~19:00, 토 09:00~15:00",37.27627151,모두 가능,변동,Y,N,031-239-4801,N,경기도 수원시 팔달구 인계동 942-4,2022-11-30,반려동물업,반려의료,동물약국,정보없음,"매주 일요일, 법정공휴일",경기도_수원시 팔달구,ok
568 번,127.030911,동물약국,경수대로,경기도 수원시 팔달구 경수대로 568,,Y,해당없음,제한사항 없음,942-4 번지,인계동,수원시 팔달구,경기도,100세약국,없음,16484,"월~금 09:00~19:00, 토 09:00~15:00",37.27627151,모두 가능,변동,Y,N,031-239-4801,N,경기도 수원시 팔달구 인계동 942-4,2022-11-30,반려동물업,반려의료,동물약국,정보없음,"매주 일요일, 법정공휴일",경기도_수원시 팔달구,ok
568 번,127.030911,동물약국,경수대로,경기도 수원시 팔달구 경수대로 568,,Y,해당없음,제한사항 없음,942-4 번지,인계동,수원시 팔달구,경기도,100세약국,없음,16484,"월~금 09:00~19:00, 토 09:00~15:00",37.27627151,모두 가능,변동,Y,N,031-239-4801,N,경기도 수원시 팔달구 인계동 942-4,2022-11-30,반려동물업,반려의료,동물약국,정보없음,"매주 일요일, 법정공휴일",경기도_수원시 팔달구,ok
892 번,126.708644,동물약국,남동대로,인천광역시 남동구 남동대로 892,,Y,해당없음,제한사항 없음,207-3 번지,간석동,남동구,인천광역시,100세약국,없음,21545,월~금 08:30~22:00,37.4620717,모두 가능,변동,Y,N,032-427-7585,N,인천광역시 남동구 간석동 207-3,2022-11-30,반려동물업,반려의료,동물약국,정보없음,"매주 토, 일",인천광역시_남동구,ok
