진료과,질문,답변,원본파일
안과,"강아지의 눈이 돌출된 것에 대해 염려하고 있습니다. 백내장이나 녹내장 가능성도 있는지 궁금합니다. 눈이 예전부터 노안으로 인해 하얗게 변해온 것 같았는데, 최근 들어서 눈의 크기가 점점 커지고 안구가 돌출되는 현상이 심해지고 있습니다. 강아지가 눈을 잘 감지 않으며, 특히 자고 일어난 후에는 눈꼽이 심하게 끼는 경향이 있습니다. 또한, 의사 선생님께서는 인공 눈물을 수시로 넣어주라고 하셨지만, 가족 모두의 일정 때문에 그렇게 하지 못했습니다. 이러한 상황이 이 증상의 원인일까요? 그리고 이를 해결하기 위한 방법에는 무엇이 있을지 알고 싶습니다. 강아지가 노령견이라 수술은 피하고 싶은데 어떻게 해야 할지 모르겠습니다. 참고로, 얼굴이 젖어 있는 것은 방금 씻었기 때문입니다. 눈물은 아닙니다.","안구의 돌출 현상과 관련하여 정확한 진단을 위해서는 안압 측정 및 안구 초음파 검사를 시행해야 할 것 같습니다. 이를 통해 녹내장 여부와 안압 상승의 원인, 눈의 앞쪽 및 뒤쪽 구조, 렌즈 주위 변화, 안저 구조물의 이상, 그리고 안와 주위 종양 발생 여부 등을 확인할 수 있습니다. 이러한 진단을 위해서는 안과 전문 동물병원을 방문하셔야 하며, 단순히 외관만으로는 정확한 진단이 어려운 점을 양해 부탁드립니다. 걱정하지 않으시고 효과적인 검사를 통해 적절한 조치를 취함으로써 불안을 덜 수 있기를 바랍니다.",/9fe2890c-f03e-11ef-8cfe-010101010000.json
안과,제가 궁금한 점이 있습니다. 제 강아지의 동공 주변에 검은 반점이 생긴 지 약 2-3개월이 경과 하였습니다. 인근의 동물 병원에서 간단한 검사를 받았을 때에는 시력에 이상이 없다고 말씀해 주셨습니다. 그러나 시간이 지남에 따라 이 검은 반점이 점점 커지고 있는 것으로 상황입니다. 이로 인해 향후에 심각한 질병으로 발전하게 될까 봐 매우 걱정되고 있습니다. 이 내용을 보신 다른 수의사 선생님들께서도 의견을 주시면 대단히 감사하겠습니다. 스트레스 관리를 일상에서 적용하는 방법을 안내해 주세요 핵심만 정리해 주시면 좋겠습니다 요점 위주로 설명해 주실 수 있을까요? 보호 장구 사용 요령을 짧게 요약해 주실 수 있을까요 핵심만 정리해 주시면 좋겠습니다 핵심만 부탁드립니다.,"현재 상황에 대한 직접적인 시각적 확인이 어려운 점 양해 부탁드립니다. 강아지의 상태와 유사한 경우로서, 각막 궤양과 같은 질환이 있었던 경우 회복 후 흉터나 반흔이 남을 수 있는 것으로 사례가 종종 발생합니다. 따라서, 보다 정확한 원인 파악을 위해서는 가까운 동물 병원에 방문하셔서 전문적인 안과 검진을 받으시기를 권장드립니다. 안전하게 매주 경과를 보며 계획을 조정해 주세요, 불편하면 강도는 낮춰 주세요, 처방 용량과 간격을 지켜 주세요. 일상 관리는 서서히 이어가 주세요, 목욕 후에는 보습을 충분히 해 주세요. 무리 없이 기본 관리는 꾸준히 유지해 주시고, 경과는 수시로 확인하시고, 경과는 정기적으로 확인해 주세요.",/a2aa26c2-f03e-11ef-a0dc-010101010000.json
안과,"심한 안구건조증과 옵티뮨 사용법에 관하여 여쭙겠습니다. 재작년에 비만세포종 그레이드 3 판정을 받고 난 후, 종양 제거 수술 및 항암 치료를 받았습니다. 현재 재발 여부에 대한 걱정과 함께, 폐수종으로 인한 심장병 약을 복용하고 있습니다. 간식으로는 매일 껍질을 벗긴 오이 하나를 제공하고 있으며, 사료로는 캐니악캔과 심장 동반을 고려한 애완동물 먹이를 주고 있습니다. 추석 연휴 중에 한쪽 눈에 심한 눈꼽과 충혈 현상이 발견되어, 급히 다음 날 애완동물 의료기관에 진료를 받았고, '건성각결막염'이라는 진단을 받았습니다. 1주일 동안 항생제와 인공눈물, 리포직, 옵티뮨을 투여하였으나 눈물량이 전혀 증가하지 않아 실질적인 차도가 없는 상황입니다. 의사 선생님의 조언에 따라, 투약 횟수를 3회에서 6회로 늘리려 하고는 하나, 직장인으로서 아침과 저녁 사이에 가능한 자주 넣어 주고 있습니다. 그러나 여전히 개선되지 않아 우려가 되어 몇 가지 질문을 드립니다. 첫 번째로, 안구건조증 발생의 원인으로 심한 감기의 열이 지목되었으나, 기침은 있었으나 심하지 않았습니다. 감기가 안구건조증을 유발하는 일도 있을까요? 두 번째로, 추석 전 미용을 받았는데, 드라이기나 샴푸 등의 사용이 급작스러운 증상의 원인이 될 가능성은 없을까요? 세 번째로, 옵티뮨이 유일한 치료약이며 나머지는 눈물 없는 안구를 보호하는 보조약이라고 들었습니다. 옵티뮨을 하루에 2회 투여하고, 바른 후 5~10분 후에 항생제나 인공눈물을 투여하고 있습니다. 이 과정이 옵티뮨의 흡수에 방해가 되는지 궁금합니다. 옵티뮨을 바른 후에는 다른 약물을 전혀 넣지 말아야 하는 것인지 여쭙고 싶습니다. 마지막으로, 현재 3주째인데 눈물이 거의 없어서 낫는 것이 가능한지 의문이 듭니다. 자세히 적다 보니 너무 길어졌네요. 2~3주 관리에도 나아지지 않는다면 실명이나 적출을 고려해야 한다는 말에 큰 걱정이 되어 질문 드립니다. 도움 주시기를 부탁드립니다.","첫번째 질문으로, 안구건조증 발생의 원인으로 감기의 열이 거론되었으나, 심한 기침이 없었다고 말씀하셨습니다. 감기가 실제로 안구건조증을 유발할 수 있는 원인인지는 확인이 필요합니다. 질병이나 스트레스가 안구건조증의 발생 원인이 될 수 있다는 점은 분명합니다. 두 번째 질문에 대해서도, 미용 관련 요인들이 갑작스러운 이런 현상에 영향을 미칠 수 있으므로 배제할 수 없습니다. 미용 후 드라이기나 특정한 샴푸에 의한 자극이 원인이 될 수 있습니다. 세 번째 질문으로, 옵티뮨이 주 치료약이며 나머지는 보조약으로 사용된다고 알려주셨습니다. 안약을 사용하는 순서는 감염 치료제와 진통 소염제, 눈물 보조제, 그리고 연고제 순으로 적용하는 것이 일반적입니다. 따라서, 옵티뮨을 가장 마지막에 바르는 것이 권장됩니다. 항생제 및 소염제 등은 수의사의 지시를 따라 자주 점안할 수 있습니다. 마지막으로, 현재 3주째 눈물이 거의 없는 상황이신데 치료로서 더 짧은 간격으로 옵티뮨을 사용할 수 있으며, 다른 제재를 고려하실 경우에는 반드시 전문 수의사와 상담하시기를 권장합니다. 옵티뮨이 눈물 생성을 증가시키는 약물이지만, 그 효과는 제한적일 수 있다는 점을 유의하셔야 합니다.",/9e306527-f03e-11ef-88a7-010101010000.json
안과,"긴급한 상황입니다. 제 강아지의 한쪽 눈에 이상이 있는 것 같습니다. 오늘 외출 후 집에 돌아왔을 때, 강아지의 눈이 부풀어 올라 있는 것처럼 보였고, 특히 한쪽 눈을 깜빡이며 제대로 뜨지 못하는 모습을 보였습니다. 계속 관찰해보니 눈물도 조금 고이고 있는 것 같고, 충혈된 것은 아닌 듯합니다. 또한, 강아지가 눈을 세게 비비고 있는 모습을 보였는데, 평소에는 얼굴을 청소하듯이 부드럽게 비비지만 오늘은 지나치게 세게 긁고 있습니다. 급히 눈물 세정제를 사용하여 눈 주변을 닦아주었지만, 상태가 처음보다 나아진 듯한 느낌은 드나 여전히 눈을 실눈처럼 뜨고 있는 것 같습니다. 이런 경우에 어떤 문제가 있을까요?","아마도 강아지의 각막 또는 결막 손상이 의심되는 상황으로 보입니다. 집에 보유하고 계신 넥칼라가 있다면 즉시 착용해 주시기 바랍니다. 강아지가 눈 주위를 긁는 행위를 계속할 경우, 각막 손상이 더욱 심각해질 수 있습니다. 만약 강아지가 자해(즉, 얼굴을 비비거나 긁는 행동)를 너무 심하게 하고 있다면, 내일 오전까지 기다리는 것은 위험할 수 있습니다. 원칙적으로는 지금 즉시 응급치료가 필요하지만, 보호자님께서 강아지의 자해를 통제할 수 있다는 전제 하에 말씀드리는 것입니다. 임상 증상이 더욱 심해진다면, 지체 없이 24시간 입원이 가능한 동물병원으로 강아지를 이송하셔야 합니다.",/9eceeb21-f03e-11ef-9b6d-010101010000.json
안과,"저는 10세의 중성화된 시츄 여아를 기르고 있습니다. 시츄를 양육하면서 눈 상태가 자주 좋지 않은 경우를 경험하였습니다. 종종 눈이 충혈되며, 그럴 때마다 결막염으로 인해 안약을 처방받았습니다. 하지만 최근 한 달 간은 누런 눈꼽이 형성되었고, 눈이 뻑뻑해 보이며 통증도 있는 듯 합니다. 이전에 처방받았던 안약을 사용해도 개선되지 않고 있습니다. 이러한 증상으로 어떤 질병을 의심해볼 수 있을까요? 또한 어떤 검사가 필요하며, 치료 가능한 방법은 무엇인지 궁금합니다.","이 반려견은 건성각결막염이 의심될 수 있습니다. 건성각결막염은 눈물 생성량이 감소하면서 발생하는 문제입니다. 눈물은 눈을 보호하는 중요한 역할을 하며, 눈물의 양이 줄어들 경우 눈이 자극을 받게 되고, 이로 인해 결막 조직이 붉어지며 점착성의 눈꼽이 발생할 수 있습니다. 또한 이런 상황은 쉽게 각막 손상으로 이어질 수 있습니다. 건성각결막염의 주된 원인은 사람과는 다르게 눈물을 생성하는 분비선 조직이 면역에 의해 파괴되는 경우입니다. 진단을 위해서는 눈물량 검사를 실시해야 하며, 정상적인 눈물량은 1분당 15mm 이상입니다. 치료 방법으로는 인공눈물을 자주 점안해 주고, 면역억제제 안연고를 투여하여 지속적인 관리가 필요합니다.",/a423fa9a-f03e-11ef-8d4f-010101010000.json
외과,"강아지가 15-20분 정도 산책을 마치고 집에 돌아온 후, 갑자기 심하게 헥헥거리며 다리 근육에 경련 같은 증상을 보이고, 몸이 떨리는 상황이 발생했습니다. 이러한 증상이 세 번째 반복되고 있는데, 인터넷에서 과도한 산책 후에 강직이 발생할 수 있다고 확인하였습니다. 이와 같은 증상은 무엇을 의미하는 것인가요? 꼭 동물병원에 가야 하는지 궁금합니다.","본 증상은 크게 4가지 문제로 분석할 수 있습니다. 첫째, 심혈관계 질환으로 인해 혈전, 심인성 폐수종, 고혈압, 판막질환, 허혈, 경색 질환 등의 가능성이 있습니다. 둘째, 호흡기계 질환으로는 기관허탈, 기관저형성, 호흡기계 감염 및 염증, 그리고 호흡기계 종양 발생을 포함할 수 있습니다. 셋째, 근골격계 질환의 경우 고관절 이형성증, 고관절 아탈구 또는 탈구, 슬개골 탈구, 십자인대 손상, 골/관절염증, 그리고 골격계 종양 발생 등이 원인이 될 수 있습니다. 넷째, 신경계 질환으로는 척수 신경계 종양, 허리 디스크 질환, 척수 공동증 등이 해당될 수 있습니다. 보다 정확한 진단을 위해서는 가까운 동물병원에서 수의사와 상담하시기를 권장드립니다.",/9f94a0b2-f03e-11ef-8fdb-010101010000.json
외과,"저희 개는 현재 11세입니다. 개의 전반적인 행동이나 식사 상태는 모두 양호하나, 항문 부위에 고름과 피가 보이며 그 상태가 더욱 악화되고 있습니다. 병원에 데려가고 싶으나, 개가 매우 사나운 탓에 어려움을 겪고 있습니다. 이와 관련하여, 집에서 할 수 있는 치료 방법이 있을지 문의 드립니다. 참고로 동물병원에서 구매한 핑크 스프레이를 가끔 뿌리고 있습니다.","항문 부위의 상태에 대해 감염을 의심할 수 있으나, 통증이 없는 것으로 미뤄 볼 때 종양과 같은 변화도 고려해볼 수 있습니다. 우선 항생제와 소염제를 처방받아 개에게 투여해 보시기를 권장합니다.",/a3ecc9d1-f03e-11ef-84e2-010101010000.json
외과,"제 강아지가 대퇴골의 원위부에서 골절을 당한 상황에 대해 문의드립니다. 최근 강아지가 다리를 다치고 절어서 병원에서 엑스레이 검사를 받은 결과, 대퇴골 원위부 골절이 라는 진단을 받았습니다. 특히 이 골절은 성장판 근처에서 발생했다고 하더군요. 수의사 선생님께서는 수술만이 유일한 해결책이 라고 말씀하셨습니다. 그런데 깁스를 사용하는 것이 전혀 효과가 없는 것인지 궁금합니다. 다소 희박한 가능성으로 깁스를 하지 않고도 강아지가 정상으로 회복할 수 있는 것으로 경우가 있다고 들었는데, 어떤 방법이 가장 적합할지 판단하기가 어렵습니다. 오히려 깁스가 부작용을 일으킬 수 있다고 하여 제가 이해하기 힘든 상황입니다. 수술을 고려하고 싶지만 수술비가 너무 부담스러워 학생 신분인 제가 감당할 수 있는 것으로 금액이 아닙니다. 상황이 참 막막하여 매우 힘든 마음입니다. 강아지가 놀지도 못하고 있어, 지켜보는 저로서는 마음이 아픕니다. 현재 강아지는 주사를 맞고 약을 복용 중인데, 이 상태에서 제가 어떤 조치를 취해야 할지 조언을 부탁드립니다. 다른 질환과 의 감별 기준을 주간 계획으로 어떻게 배치하면 좋을까요 요점 위주로 부탁드립니다. 목욕제 선택에서 중요한 포인트를 알려 주실 수 있을까요 요점 위주로 부탁드립니다 짧게 정리해 주시면 좋겠습니다. 긁음과 핥음 관리와 관련해 권장 기준을 알려 주세요 실행 순서로 알려 주실 수 있을까요 요점 위주로 설명해 주실 수 있을까요? 진단 필요성에서 중요한 포인트를 알려 주실 수 있을까요 핵심만 정리해 주시면 좋겠습니다 실행 순서로 안내해 주실 수 있을까요?","대퇴골의 골절이 발생한 경우, 수술적 치료를 받아야 하는 것이 바람직합니다. 골절이 방치되면 뼈가 비정상적인 상태로 굳어져, 강아지가 앞으로 다리를 제대로 사용하지 못할 가능성이 높습니다. 뼈의 정렬을 맞추기 위해서는 플레가 트나 핀과 같은 수술적 장치가 필요합니다. 정상적인 배열을 유지하는 것은 매우 어렵기 때문에, 신중하게 치료 방법을 고려해야 합니다. 피부 관리는 과하지 않게 무리 없이 이어가 주세요, 외용제는 겹겹이 바르지 않도록 주의해 주세요. 일상 관리는 무리 없이 꾸준히 시행해 주세요, 처방 용량과 간격은 꼭 지켜 주세요. 기본 관리는 지속 가능하게 상태에 맞춰 조정해 주시고, 증상 강도 변화를 간단히 기록해 주세요. 피부 관리는 일정하게 일관되게 반복해 주세요, 처방 용량과 간격은 꼭 지켜 주세요.",/9d858c08-f03e-11ef-a007-010101010000.json
외과,"저희 포메라니안 반려견은 현재 2년 2개월의 나이를 가지고 있으며, 체중은 2. 스트레스 관리를 바로 적용할 수 있게 순서를 정리해 주세요 간단히 알려 주세요. 운동량 조절에서 우리 아가 에게 맞춘 조정 기준이 있을까요 핵심만 부탁드립니다 핵심만 부탁드립니다. 암컷이 고 중성화 수술을 시행하지 않았고, 현재 평균적인 체형을 유지하고 있습니다. 주거 환경은 실내가 며, 저는 매주 1회에서 2회 정도 산책을 시켜주고, 간식은 주 3회에서 5회 정도 제공합니다. 그러나 양치질은 거의 해주지 않고, 배변은 하루에 1회에서 2회 정도 이루어지며, 배변 및 소변의 상태는 모두 정상입니다. 현재까지 알레르기는 없으나, 슬개골 탈구증과 호흡기 질환 증상을 관찰한 바 있습니다. 이와 관련하여 몇 가지 궁금한 점이 있어 질문드립니다 실행 순서로 안내해 주실 수 있을까요? 가려움 점수 기록을 주간 계획으로 운용하려면 어떻게 하면 좋을까요 중복 없이 정리해 주세요 주의할 점도 함께 알려 주세요. 검사 우선순위를 주간 계획으로 운용하려면 어떻게 하면 좋을까요 중복 없이 정리해 주세요 실행 순서로 안내해 주실 수 있을까요?","포메라니안 품종은 일반적으로 소형견에 해당하며, 중성화 수술을 하지 않은 경우에는 발정 주기에 따른 주기적인 관리가 매우 중요합니다. 중성화수술은 자궁축농증이 나 유선종양등 생식기 관련 질환 예방에도 가장 효율적입니다. 또한, 슬개골 탈구증과 같은 관절 질환은 강아지의 일상적인 활동 및 건강에 상당한 영향을 미칠 수 있으므로, 지속적인 관찰과 적절한 관리가 필요합니다. 이러한 점을 고려하여 반려견의 건강을 잘 유지하시기 바랍니다. 관리 계획은 과도하지 않게 무리 없이 이어가 주세요, 가려움이 심한 시간대는 자극을 줄여 주세요. 생활 관리는 가능하면 유지하시고, 필요하면 빈도를 유연하게 조정해 주세요. 재발 예방 관리는 자극이 없도록 꾸준히 시행하시고, 환경 변화를 최소화해 주세요. 가정 내 관리는 자극이 없도록 필요한 만큼만 시행해 주세요, 경과 사진을 날짜와 함께 남겨 주세요. 사전 관리는 안전하게 무리 없이 이어가 주세요, 오염 부위는 미지근한 물로 가볍게 세척해 주세요. 자극을 줄이면서 사전 관리는 꾸준히 기록을 남기며 진행해 주세요, 변화가 적으면 간격을 조금 넓혀 주세요, 변화가 적으면 간격을 조금 넓혀 주세요. 사전 관리는 무엇보다 일정하게 이어가 주세요, 불편하면 강도는 낮춰 주세요. 관리 계획은 부담없게 꾸준히 시행해 주세요, 처방 용량과 간격은 꼭 지켜 주세요. 사전 관리는 서서히 무리 없이 이어가 주세요, 필요하면 계획을 조정해 주세요. 일정하게 기본 관리는 점차적으로 필요한 만큼만 시행하시고, 피부를 긁지 않도록 관리해 주시고, 필요하면 계획을 조정해 주세요.",/a57385c1-f03e-11ef-b442-010101010000.json
외과,"안녕하세요, 현재 5세인 저희 반려견인 말티즈가 과거부터 배뇨 문제를 가지고 있어 병원에서 검사를 받았던 경험이 있습니다. 검사 결과, 수술이 필요하다는 권고를 받았으나, 수술 비용이 상당하여 지금까지 진행하지 못하고 있습니다. 이 경우, 수술을 연기하는 것이 가능할까요? 또한, 수술을 하지 않을 경우에는 어떤 문제가 발생할 수 있는지 궁금합니다. 현재 그 강아지는 배뇨를 5번 할 때 2번은 배뇨를 하지 않고 3번은 정상적으로 하는 상황입니다. 최근에는 항상 피오줌을 먼저 싸는 것이 아니라, 쉬를 먼저 하곤 합니다. 이러한 내용을 꼭 설명해 주시면 감사하겠습니다. 알레르겐 회피의 경과를 어떤 기준으로 확인하면 좋을까요 비슷한 질환과 구분 기준도 알려 주실 수 있을까요 요점 위주로 설명해 주실 수 있을까요? 세척 후 건조 방법에 관해 핵심만 짚어 주실 수 있을까요 실행 순서로 알려 주실 수 있을까요 요점 위주로 설명해 주실 수 있을까요? 알레르겐 회피를 일상에서 적용하는 방법을 안내해 주세요 간단히 알려 주세요 요점 위주로 설명해 주실 수 있을까요? 귀·발 관리를 지속하려면 어떤 기준을 잡으면 좋을까요 간단히 알려 주세요.","보호자님의 걱정은 충분히 이해됩니다. 강아지의 배뇨 빈도가 5번 중 3번인 것으로 보아 요도의 완전한 폐쇄는 아닐 가능성이 있지만, 방광 결석 진단 이후에도 배뇨 곤란이 지속된다면 방광목이 나 요도의 물리적인 폐쇄 가능성도 존재합니다. 이러한 경우에는 요도 카테터를 사용하여 방광으로 밀어넣은 수술과 결석을 영구적으로 제거하는 수술적 교정이 필요할 수 있습니다. 이 질환이 지속되면 신장에 악영향을 미치고, 요독증이 증가 할 수 있습니다. 또한, 혈액 내 질소 화합물이 증가 하면서 배뇨 지연을 초래할 수 있습니다. 혈뇨의 경우, 방광 내 결석이 방광벽을 자극하여 발생하는 현상이 며, 이 상태가 지속된다면 방광염으로 이어질 위험도 있습니다. 신속한 치료를 통해 반려견이 조속히 회복하기를 바랍니다. 생활 관리는 안전하게 꾸준히 시행하시고, 필요하면 계획을 조정해 주세요. 기본 관리는 부담없게 꾸준히 시행해 주세요, 오염 부위는 미지근한 물로 가볍게 씻어 주세요. 관리 계획은 꾸준히 일관되게 반복해 주세요, 불편하면 강도는 낮춰 주세요.",/9d6e3349-f03e-11ef-87ef-010101010000.json
