Name,Facility_ID,Category,TaskType,BusinessStatus,Sido,Sigungu,Dong,LotNumber,RoadAddress,PostalCode,lat,lon,PhoneNumber,LicenseDate,ClosingDate,LastUpdated
COZY,301000004820180006,3010000,,폐업 / 폐업,서울특별시,중구,중구,서울특별시 중구 신당동 ***-**,"서울특별시 중구 청구로 **, *층 (신당동)",04589,450817.329698139,201252.508004421,02-2253-6686,2018-09-12,2025-12-18,2026-01-13 18:18:02
페츠베리머치 카페,302000004820230001,3020000,,폐업 / 폐업,서울특별시,용산구,용산구,서울특별시 용산구 남영동 **-*,서울특별시 용산구 한강대로**길 **(남영동),04352,449037.788561661,197601.685379703,070-4010-2561,2023-03-16,2025-04-30,2026-01-13 18:16:33
서울숲 dogs,303000004820200008,3030000,,폐업 / 폐업,서울특별시,성동구,성동구,서울특별시 성동구 성수동*가 ***-* 프렌치모터스(주),"서울특별시 성동구 왕십리로 **, *층 *호 (성수동*가)",04778,449210.380042967,203934.499467547,02-468-3694,2020-04-17,2025-12-15,2026-01-13 18:59:04
펫살롱,303000004820210006,3030000,,폐업 / 폐업,서울특별시,성동구,성동구,서울특별시 성동구 상왕십리동 *** 텐즈힐 ***호,"서울특별시 성동구 마장로 ***, ***호 (상왕십리동, 텐즈힐)",04700,,,,2021-03-23,2025-12-26,2026-01-13 18:59:04
쥬라기동물병원,304000004820180073,3040000,,폐업 / 폐업,서울특별시,광진구,광진구,서울특별시 광진구 광장동 ***-**,서울특별시 광진구 광나루로 *** (광장동),04984,448875.286459939,208344.912915338,02-455-7570,2018-11-06,2025-12-31,2026-01-13 18:09:03
루프독 1027,310000004820190004,3100000,,폐업 / 폐업,서울특별시,노원구,노원구,서울특별시 노원구 공릉동 ***-** 송이빌딩,"서울특별시 노원구 동일로 ****, 송이빌딩 *층 (공릉동)",01858,457722.699587733,206453.19770263,,2019-03-04,2026-01-31,2026-01-29 22:02:50
펫다이어리,313000004820230002,3130000,,폐업 / 폐업,서울특별시,마포구,마포구,서울특별시 마포구 망원동 ***-**,"서울특별시 마포구 방울내로 **, *층 ***호 (망원동)",03959,450740.724437684,191154.264375441,,2023-02-23,2026-01-16,2026-01-17 22:03:16
내안에너있DOG,306000004820200010,3060000,,폐업 / 폐업,서울특별시,중랑구,중랑구,서울특별시 중랑구 망우동 *** 신내역 프라디움 더 테라스,"서울특별시 중랑구 용마산로 ***, c동 ***호 (망우동, 신내역 프라디움 더 테라스)",02057,,,,2020-08-26,2026-01-15,2026-01-16 22:32:50
나오미야오 고양이호텔,307000004820200001,3070000,,폐업 / 폐업,서울특별시,성북구,성북구,서울특별시 성북구 돈암동 **-* 성운빌딩,"서울특별시 성북구 북악산로 ***, 성운빌딩 *층 (돈암동)",02828,455131.759563314,201709.92634238,,2020-01-16,2025-04-01,2026-01-13 18:14:33
땡일리 애견 유치원,307000004820210010,3070000,,폐업 / 폐업,서울특별시,성북구,성북구,서울특별시 성북구 장위동 ***-* 꿈의숲 빌딩,"서울특별시 성북구 월계로**길 **, 꿈의숲 빌딩 ***호 (장위동)",02754,457377.671933134,203905.771080068,,2021-05-13,2025-07-08,2026-01-13 18:14:33
댕크닉,307000004820230002,3070000,,폐업 / 폐업,서울특별시,성북구,성북구,서울특별시 성북구 길음동 ***-*,"서울특별시 성북구 동소문로 ***, *층 (길음동)",02730,456091.245659224,202421.423546904,,2023-09-06,2025-08-16,2026-01-13 18:14:33
견생유치원,308000004820240005,3080000,,폐업 / 폐업,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-**,"서울특별시 강북구 한천로 ****, *층 (수유동)",01037,460561.665774363,201349.677927804,,2024-05-16,2025-12-24,2026-01-13 18:07:33
강(Kang)아지,308000004820240007,3080000,,폐업 / 폐업,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-**,"서울특별시 강북구 삼양로***길 **, *층 (수유동)",01030,460179.648063447,201195.913672271,,2024-10-04,2025-12-23,2026-01-13 18:07:33
호펫 강아지 고양이 성신여대본점,307000004820190012,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 동선동*가 *** 동선*동새마을금고,"서울특별시 성북구 동소문로**다길 **, 동선*동새마을금고 *층 (동선동*가)",02845,,,,2019-04-26,,2026-01-13 18:14:33
행복하개키울고양,307000004820190015,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 안암동*가 **,"서울특별시 성북구 고려대로**길 **, *층 (안암동*가)",02850,,,,2019-05-14,,2026-01-13 18:14:33
카카오N동물병원,307000004820190017,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 길음동 **** 길음뉴타운,"서울특별시 성북구 길음로 **, 상가동 *층 **호 (길음동, 길음뉴타운)",02720,,,02-942-4883,2019-05-31,,2026-01-13 18:14:33
띵동이네,307000004820210008,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 삼선동*가 ***,"서울특별시 성북구 삼선교로**길 **, 지층 (삼선동*가)",02862,,,,2021-04-30,,2026-01-13 18:14:33
조이풀독,307000004820220004,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 정릉동 ***-*** 서륭빌딩,"서울특별시 성북구 서경로 **, 서륭빌딩 *층 (정릉동)",02716,456210.84540913,201274.994791455,,2022-03-15,,2026-01-13 18:14:33
봄동살롱,307000004820220005,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 삼선동*가 ***-** 선경빌딩,"서울특별시 성북구 삼선교로**길 **, 선경빌딩 *층 (삼선동*가)",02861,454270.002143027,201111.516717328,,2022-05-10,,2026-01-13 18:14:33
놀펫 강아지유치원 애견호텔 서울애견유치원 성북본원,307000004820220006,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 정릉동 ***-* *층,"서울특별시 성북구 북악산로 ***, *층 (정릉동)",02818,455304.75260053,201417.342430389,,2022-07-21,,2026-01-13 18:14:33
도글로리(Doglory),307000004820220007,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 하월곡동 **-** 코업스타클래스 *층 상가동 ***호,"서울특별시 성북구 화랑로 **, 코업스타클래스 상가동 *층 ***, ***, ***-*호 (하월곡동)",02751,455500.568972657,203502.004139568,,2022-08-25,,2026-01-13 18:14:33
댕겨오시개,307000004820230001,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 장위동 **-**,"서울특별시 성북구 돌곶이로**길 **, *,*층 (장위동)",02775,456680.061947496,205150.690803616,,2023-07-31,,2026-01-13 18:14:33
머뭄 애견유치원,307000004820230004,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 장위동 ***-** 생활불교회(팔공산용주암),"서울특별시 성북구 돌곶이로 ***-*, 생활불교회(팔공산용주암) *층 (장위동)",02754,457421.58856999,203915.927731831,,2023-12-04,,2026-01-13 18:14:33
싱글벙글,307000004820230005,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 종암동 **-**,"서울특별시 성북구 종암로**길 **-**, *층 (종암동)",02800,454910.09441418,203133.672124057,,2023-12-22,,2026-01-13 18:14:33
엘리트도그스쿨,315000004820250005,3150000,,폐업 / 폐업,서울특별시,강서구,강서구,서울특별시 강서구 방화동 ***-* *층 *호,"서울특별시 강서구 양천로**길 **-*, *층 *호 (방화동)",07609,451894.778993686,183049.525160207,,2025-07-08,2025-12-23,2026-01-13 18:08:04
몽글몽글,307000004820240001,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 장위동 **-***,"서울특별시 성북구 돌곶이로**길 **-*, *층 (장위동)",02771,456491.101264855,204595.959178257,,2024-08-14,,2026-01-13 18:14:33
코코몽드,307000004820250001,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 석관동 ***-***,"서울특별시 성북구 돌곶이로 **, *층 (석관동)",02788,455956.8215959,205373.284040466,02-967-7900,2025-03-18,,2026-01-13 18:14:33
놀멍뭐하니,307000004820250002,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 하월곡동 **-****,"서울특별시 성북구 종암로**길 **, *층 (하월곡동)",02739,455796.037687145,202854.235812534,,2025-12-02,,2026-01-13 18:14:33
냥바라기,307000004820260001,3070000,,영업/정상 / 정상,서울특별시,성북구,성북구,서울특별시 성북구 삼선동*가 ***-* 삼선푸르지오 상가동 ***호,"서울특별시 성북구 보문로**다길 *, 삼선푸르지오 상가동 *층 ***호 (삼선동*가)",02869,453695.242167244,201109.468313411,,2026-01-16,,2026-01-17 22:02:50
나라 앤 송이 애견샵,308000004820180009,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-** *층,"서울특별시 강북구 한천로***길 **-**, *층 (수유동)",01054,459935.756525042,202282.870151037,,2018-05-30,,2026-01-13 18:07:33
꽃보다 개,308000004820180014,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 ***-*,서울특별시 강북구 한천로 **** (수유동),01048,460209.426960858,201797.933158965,,2018-06-07,,2026-01-13 18:07:33
버블펫,308000004820180016,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ***-*** *층,"서울특별시 강북구 오패산로**길 **, *층 (미아동)",01153,457972.165978227,202778.045524565,02-987-9808,2018-07-09,,2026-01-13 18:07:33
라울레미 하우스,308000004820180017,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ***-***,"서울특별시 강북구 도봉로**길 **, *층 (미아동)",01162,457804.17618464,202730.349495528,,2018-07-31,,2026-01-13 18:07:33
솔샘펫,308000004820180018,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ****-*,"서울특별시 강북구 솔샘로 ***, *층 (미아동)",01193,457502.103585976,201502.608880391,,2018-07-31,,2026-01-13 18:07:33
24시 수유 바른펫 동물의료센터,308000004820180022,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 수유동 **-** 리안스페이스,"서울특별시 강북구 노해로 **, 리안스페이스 *층 (수유동)",01077,459898.768983751,201895.657015169,02-903-7582,2018-09-20,,2026-01-13 18:07:33
H 동물병원,308000004820180028,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ****-* 미아프라자,"서울특별시 강북구 삼양로**길 **-**, 미아프라자 ***호 (미아동)",01196,457290.100695375,201602.577531291,,2018-10-02,,2026-01-13 18:07:33
아이사랑 동물병원,308000004820190006,3080000,,영업/정상 / 정상,서울특별시,강북구,강북구,서울특별시 강북구 미아동 ***-* 현대성우아파트,"서울특별시 강북구 삼양로**길 **, ***동 ***호 (미아동, 현대성우아파트)",01201,457207.459778606,201882.026836663,02-946-0011,2019-05-09,,2026-01-13 18:07:33
