Name,Facility_ID,Category,BusinessStatus,Sido,Sigungu,Dong,LotNumber,RoadAddress,PostalCode,lat,lon,PhoneNumber,LicenseDate,ClosingDate,LastUpdated
펫바라기,470100003820140001,4701000,영업/정상 / 정상,전북특별자치도,남원시,남원시,전북특별자치도 남원시 보절면 신파리 403,전북특별자치도 남원시 보절면 파동신동길 161-29,55706,,,,2014-09-24,,2025-12-15 16:15:28
해피펫,472100003820200001,4721000,영업/정상 / 정상,전북특별자치도,완주군,완주군,전북특별자치도 완주군 이서면 은교리 508,전북특별자치도 완주군 이서면 팥죽이로 205-7,55367,,,063-242-2114,2020-03-05,,2025-12-15 16:15:28
전주 하늘,472100003820200002,4721000,영업/정상 / 정상,전북특별자치도,완주군,완주군,전북특별자치도 완주군 소양면 신원리 1-3 현대오일뱅크,"전북특별자치도 완주군 소양면 전진로 1630, 현대오일뱅크",55346,261830.105439193,229122.306643175,,2020-04-20,,2025-12-15 16:15:28
오수 펫 추모공원,476100003820210001,4761000,영업/정상 / 정상,전북특별자치도,임실군,임실군,전북특별자치도 임실군 오수면 금암리 864-1 오수펫추모공원,"전북특별자치도 임실군 오수면 춘향로 1554-95, 오수펫추모공원",55955,226602.094063431,231550.822100709,063-643-0486,2021-07-20,,2025-12-15 16:15:28
해늘마루,480000003820220001,4800000,영업/정상 / 정상,전라남도,목포시,목포시,전라남도 목포시 대양동 756-10,전라남도 목포시 고하대로 1140-17(대양동),58603,149233.782029218,145297.226396078,061-273-4000,2022-09-27,,2025-12-15 16:15:28
전남반려동물장례식장푸른솔,481000003820210001,4810000,영업/정상 / 정상,전라남도,여수시,여수시,전라남도 여수시 율촌면 취적리 964-3,전라남도 여수시 율촌면 조화길 31,59604,152032.185089794,253860.268623436,1566-7112,2021-07-21,,2025-12-15 16:15:28
순천 반려동물장례식장 하늘별,482000003820240001,4820000,영업/정상 / 정상,전라남도,순천시,순천시,전라남도 순천시 별량면 대룡리 1189-1 펫하늘별,"전라남도 순천시 별량면 송산길 259, 펫하늘별",58031,154150.345620707,234371.005725037,,2024-01-07,,2025-12-15 16:15:28
전남순천1004반려동물장례식장,482000003820250001,4820000,영업/정상 / 정상,전라남도,순천시,순천시,전라남도 순천시 서면 동산리 543-7 동물화장시설,"전라남도 순천시 서면 순천로 260-1, 동물화장시설",57906,,,,2025-07-18,,2025-12-15 16:15:28
별다만 광주전남,483000003820250001,4830000,영업/정상 / 정상,전라남도,나주시,나주시,"전라남도 나주시 다도면 신동리 76 , 467-46",전라남도 나주시 다도면 다도로 857,58319,,,061-337-1230,2025-03-25,,2026-02-05 22:33:55
주식회사 퍼스트펫,483000003820250002,4830000,영업/정상 / 정상,전라남도,나주시,나주시,전라남도 나주시 다시면 신광리 911-4,전라남도 나주시 다시면 영산로 4952,58279,169009.050731071,170568.536905393,061-337-0991,2025-06-30,,2026-01-15 22:33:45
우양펫타운,485000003820190001,4850000,취소/말소/만료/정지/중지 / 말소,전라남도,담양군,담양군,전라남도 담양군 봉산면 기곡리 274-1,전라남도 담양군 봉산면 죽향대로 729-1,57371,197183.135950689,197426.180152345,,2019-08-16,,2025-12-15 16:15:28
타임투반려동물 장례식장,496000003820210001,4960000,영업/정상 / 정상,전라남도,함평군,함평군,전라남도 함평군 학교면 월산리 259,전라남도 함평군 학교면 학교월봉길 217,57158,,,,2021-03-23,,2025-12-15 16:15:28
경북반려동물장례식장,506000003820230001,5060000,영업/정상 / 정상,경상북도,김천시,김천시,경상북도 김천시 봉산면 신암리 396,경상북도 김천시 봉산면 영남대로 353,39561,,,,2023-03-28,,2025-12-15 16:15:28
(주)더소울펫,508000003820180001,5080000,취소/말소/만료/정지/중지 / 말소,경상북도,구미시,구미시,경상북도 구미시 옥성면 농소리 산 75-3,경상북도 구미시 옥성면 이곡3길 69,39102,313583.261661319,314321.882034812,1588-9749,2022-07-22,,2025-12-15 16:15:28
(주)모모리아,508000003820220001,5080000,영업/정상 / 정상,경상북도,구미시,구미시,경상북도 구미시 옥성면 농소리 950-1,경상북도 구미시 옥성면 이곡3길 69,39102,313606.257863926,314325.377039905,,2022-07-22,,2025-12-15 16:15:28
(주)젠틀펫,512000003820220001,5120000,영업/정상 / 정상,경상북도,문경시,문경시,경상북도 문경시 문경읍 진안리 350-4,경상북도 문경시 문경읍 문경대로 2430,36919,360655.576332738,296570.138224363,,2022-06-14,,2026-03-10 21:32:54
아이들랜드,513000003820190001,5130000,영업/정상 / 정상,경상북도,경산시,경산시,경상북도 경산시 와촌면 신한리 산 54-8,경상북도 경산시 와촌면 불굴사길 82,38405,,,1522-6979,2019-12-23,,2025-12-15 16:15:28
(주)젠틀펫,513000003820240001,5130000,영업/정상 / 정상,경상북도,경산시,경산시,경상북도 경산시 점촌동 60-1,경상북도 경산시 한의대로 124 (점촌동),38577,257900.999134727,360566.836664462,,2024-07-31,,2025-12-15 16:15:28
리틀포즈 반려동물 장례식장,514100003820240001,5141000,영업/정상 / 정상,대구광역시,군위군,군위군,대구광역시 군위군 부계면 창평리 812,대구광역시 군위군 부계면 부흥로 118,43162,,,,2024-09-04,,2025-12-15 16:15:28
하얀민들레,519000003820150001,5190000,영업/정상 / 정상,경상북도,청도군,청도군,경상북도 청도군 화양읍 송금리 83,경상북도 청도군 화양읍 남성현로 852,38323,,,,2015-02-02,,2025-12-15 16:15:28
강아지 펫 헤븐,521000003820200001,5210000,영업/정상 / 정상,경상북도,성주군,성주군,경상북도 성주군 선남면 오도리 91,경상북도 성주군 선남면 관용로 427,40042,,,,2020-06-02,,2025-12-15 16:15:28
스윗드림 펫,522000003820200001,5220000,영업/정상 / 정상,경상북도,칠곡군,칠곡군,경상북도 칠곡군 가산면 다부리 651,경상북도 칠곡군 가산면 다부거문1길 51-68,39851,,,054-974-2220,2020-06-03,,2025-12-15 16:15:28
주식회사 아이헤븐,535000003820180001,5350000,영업/정상 / 정상,경상남도,김해시,김해시,경상남도 김해시 생림면 봉림리 872-1,경상남도 김해시 생림면 생림대로928번길 10-5,50800,206148.962091338,367952.46809035,1577-5474,2018-06-14,,2025-12-15 16:15:28
포포즈 반려동물장례식장 김해점,535000003820180002,5350000,영업/정상 / 정상,경상남도,김해시,김해시,경상남도 김해시 한림면 안하리 264-12,경상남도 김해시 한림면 안하로 102,50852,202565.538218243,365879.501806837,1811-8044,2018-12-19,,2025-12-15 16:15:28
별이되다,535000003820190001,5350000,영업/정상 / 정상,경상남도,김해시,김해시,경상남도 김해시 생림면 나전리 1065-8,경상남도 김해시 생림면 나전로137번길 31,50802,201459.488007485,370325.083692816,,2019-02-21,,2025-12-15 16:15:28
펫로스 케어,535000003820190002,5350000,영업/정상 / 정상,경상남도,김해시,김해시,경상남도 김해시 상동면 우계리 112-1,경상남도 김해시 상동면 묵방로109번길 3,50805,201651.448940064,373804.660124585,,2019-04-10,,2025-12-15 16:15:28
메리온,538000003820160001,5380000,영업/정상 / 정상,경상남도,양산시,양산시,경상남도 양산시 상북면 외석리 462-2,경상남도 양산시 상북면 오룡길 152,50582,,,055-374-6503,2016-03-29,,2025-12-15 16:15:28
(주)펫노블레스,538000003820190001,5380000,영업/정상 / 정상,경상남도,양산시,양산시,경상남도 양산시 상북면 상삼리 산 17-3,경상남도 양산시 상북면 공원로3길 19-91,50579,,,055-374-4400,2019-07-19,,2025-12-15 16:15:28
한별 리멤버파크,540000003820190001,5400000,영업/정상 / 정상,경상남도,함안군,함안군,경상남도 함안군 법수면 대송리 10-7,경상남도 함안군 법수면 이묵골로 135-3,52056,204898.191601719,323188.560032437,055-582-0042,2019-07-26,,2026-03-10 21:32:54
주식회사 하늘소풍,542000003820170001,5420000,영업/정상 / 정상,경상남도,고성군,고성군,경상남도 고성군 회화면 봉동리 608-1,경상남도 고성군 회화면 봉오로 145-21,52916,176499.23612006,327123.160784672,,2017-08-08,,2025-12-15 16:15:28
포포즈 반려동물장례식장 화성2호점,553000003820170001,5530000,영업/정상 / 정상,경기도,화성시,화성시,경기도 화성시 만세구 서신면 사곶리 5-18,경기도 화성시 만세구 서신면 안벼슬길102번길 165,18556,,,,2017-12-08,,2026-02-01 10:34:13
포포즈 반려동물장례식장 화성1호점,553000003820190001,5530000,영업/정상 / 정상,경기도,화성시,화성시,경기도 화성시 만세구 팔탄면 창곡리 925-6,경기도 화성시 만세구 팔탄면 독곡길 24-42,18525,408137.559476533,190569.997285905,,2019-06-05,,2026-02-01 10:34:13
(주)우리반려동물문화원,553000003820190002,5530000,취소/말소/만료/정지/중지 / 말소,경기도,화성시,화성시,경기도 화성시 만세구 서신면 사곶리 5-18,경기도 화성시 만세구 서신면 안벼슬길102번길 165,18556,,,,2019-06-25,,2026-02-01 10:34:13
21그램 반려동물장례식장 화성점,553000003820190003,5530000,영업/정상 / 정상,경기도,화성시,화성시,경기도 화성시 효행구 비봉면 양노리 755-5,경기도 화성시 효행구 비봉면 양노남길 108,18284,413055.594903512,188265.168564066,02-1688-1240,2019-09-03,,2026-02-06 21:32:40
스토리펫,553000003820210001,5530000,영업/정상 / 정상,경기도,화성시,화성시,경기도 화성시 효행구 정남면 문학리 663,경기도 화성시 효행구 정남면 서봉로851번길 83,18522,,,031-353-5579,2021-08-18,,2026-02-01 10:34:13
21그램 반려동물장례식장,554000003820080001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 매산동 139,경기도 광주시 매자리길 185-35 (매산동),12798,,,02-401-3384,2008-03-07,,2026-01-28 21:02:40
러브펫 반려동물장례식장,554000003820140001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 초월읍 지월리 712-10,경기도 광주시 초월읍 현산로361번길 12,12728,434999.834783652,225116.997657545,031-796-4341,2014-07-14,,2025-12-15 16:15:28
포포즈 반려동물 장례식장 경기광주점,554000003820150001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 초월읍 신월리 592-19,경기도 광주시 초월읍 산수로 409-11,12729,432832.038754988,227369.446579015,,2015-10-30,,2025-12-15 16:15:28
펫포레스트 반려동물장례식장 경기광주점,554000003820160001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 문형동 749-5,경기도 광주시 문형동 오포안로 77,12774,,,,2016-11-17,,2025-12-15 16:15:28
(주)해피엔딩,554000003820170001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 초월읍 지월리 134,경기도 광주시 초월읍 지월로100번길 18,12728,,,,2017-04-11,,2025-12-15 16:15:28
백꽃사랑하이빛,554000003820200001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 곤지암읍 부항리 236,경기도 광주시 곤지암읍 신만로 305,12723,,,,2020-07-16,,2025-12-15 16:15:28
하늘강아지 반려동물 장례식장,554000003820230001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 초월읍 선동리 386-5,경기도 광주시 초월읍 선장동길 31-3,12732,431914.776700986,228116.685144668,,2023-03-21,,2025-12-15 16:15:28
포포즈 반려동물장례식장 양주점,559000003820170001,5590000,영업/정상 / 정상,경기도,양주시,양주시,경기도 양주시 광적면 비암리 583-4,경기도 양주시 광적면 부흥로 145,11424,478521.552683613,193022.853667921,031-878-7779,2017-11-08,,2026-03-10 21:32:51
스타펫,560000003820190001,5600000,영업/정상 / 정상,경기도,포천시,포천시,경기도 포천시 내촌면 진목리 225,경기도 포천시 내촌면 진금로 34,11190,,,,2021-07-13,,2025-12-15 16:15:28
