ContentID,PetTypeCode,PetAllowedInfo,PetRequirement,SafetyNotice,PetFacility,PetSupplies,PetPurchasable,PetRentable,EtcPetInfo
2930927,전구역 동반가능,,,,,,,,
4012773,전구역 동반가능,,,,,,,,
4008808,전구역 동반가능,,,,,,,,
2905752,전구역 동반가능,,,,,,,,
2784167,일부구역 동반가능,"최근 1년이내 광견병 접종(증빙서류 필요) 을 완료한 등록된 반려견만 입장 가능(단, 맹견은 입장제한 )",,"최근 1년이내 광견병 접종(증빙서류 필요) 을 완료한 등록된 반려견만 입장 가능(단, 맹견은 입장제한 )",,,,,가야산생태탐방원 2동 (자연의집 - 반려견 전용실)에서만 동반 가능
2707444,일부구역 동반가능,,,,,,,,
2024432,전구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
2927087,전구역 동반가능,,,,,,,,
2357441,전구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
126027,전구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
4008098,전구역 동반가능,,,,,,,,
127778,전구역 동반가능,"전 견종 출입 가능(맹견의 경우, 입마개 착용 필수)",목줄 착용,,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
2909061,전구역 동반가능,,,,,,,,
132786,일부구역 동반가능,,,,,,,,"동반가능(단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용)"
3083766,일부구역 동반가능,,,,,,,,"동반가능(단, 개목줄 착용, 배설물 처리를 위한 비닐봉지 등을 구비한 이용객에 한하여 허용) 야외 테라스존만 허용"
128213,전구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
2723688,전구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
128022,일부구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 실내는 동반 불가
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
2610509,전구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
2871546,일부구역 동반가능,,,,,,,,
126644,일부구역 동반가능,전 견종 동반 가능,"목줄 착용,반려동물 유모차 탑승,이동장(켄넬)사용,매너벨트 착용",,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
2685459,일부구역 동반가능,,목줄 착용,,야외 테라스,,,,"반려견 동반 시 야외 테라스만 이용 가능합니다. 리드 줄 필수입니다. 마킹/배변은 주의해 주세요. 우천 시에는 동반 불가 합니다.
* 반려견 동반 운영 정책은 현지 사정에 따라 변동 될 수 있습니다."
3018842,일부구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 정원 혼잡도에 따라 동반 여부가 상이할 수 있어 방문 전 사전 문의 필수
- 카페 내부는 동반 불가
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
127311,전구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
2569511,전구역 동반가능,전 견종 동반 가능,목줄 착용,전 견종 동반 가능,,,,,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수"
1576464,전구역 동반가능,전 견종 동반 가능,목줄 착용,전 견종 동반 가능,,,,,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수"
2807380,일부구역 동반가능,,목줄 착용,,정원,,,,10kg 미만 리드줄 착용 시 입장 가능합니다. 빵 구매 시 반려견은 안아주세요. 배설물 처리 깔끔하게 부탁드립니다. 1층과 야외 정원만 이용 가능합니다. 입질이 심한 반려견은 출입 제한이 될 수 있습니다. 테이블 위에 반려견을 두지 말아주세요.*반려견 동반 운영 정책은 현지 사정에 따라 변동 될 수 있습니다.
4011574,전구역 동반가능,,,,,,,,
128677,전구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
1887866,전구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 길이 협소한 편으로 다른 사람에게 피해 가지 않도록 주의 필요
- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
1627011,전구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
988459,전구역 동반가능,전 견종 동반 가능,목줄 착용,전 견종 동반 가능,,,,,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수"
4008130,전구역 동반가능,,,,,,,,
4011645,전구역 동반가능,,,,,,,,
3305292,전구역 동반가능,,,,,,,,
4011566,전구역 동반가능,,,,,,,,
772462,일부구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
128199,전구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
2628994,전구역 동반가능,전 견종 동반 가능,목줄 착용,,,,,,"- 맹견의 경우, 입마개 착용 필수
- 배변봉투 지참 및 배변처리 필수"
